 ,Label,Area,Mean,Min,Max,IntDen,Median,RawIntDen,MinThr,MaxThr
1,fish 1.png,468928,101.258,52,168,47482640,98,47482640,52,255
2,fish 10.png,548937,124.701,52,168,68453070,131,68453070,52,255
3,fish 11.png,525454,123.734,52,168,65016700,128,65016700,52,255
4,fish 12.png,595168,120.216,52,168,71548689,129,71548689,52,255
5,fish 13.png,591037,117.091,52,168,69205381,122,69205381,52,255
6,fish 14.png,528672,111.603,52,168,59001231,113,59001231,52,255
7,fish 15.png,556907,118.722,52,168,66116970,126,66116970,52,255
8,fish 16.png,530847,111.092,52,168,58972830,111,58972830,52,255
9,fish 17.png,133719,121.408,52,168,16234547,128,16234547,52,255
10,fish 18.png,574868,114.548,52,168,65849710,119,65849710,52,255
11,fish 19.png,552021,117.970,52,168,65121951,121,65121951,52,255
12,fish 2.png,518840,105.364,52,168,54667227,106,54667227,52,255
13,fish 20.png,630614,120.808,52,168,76183412,126,76183412,52,255
14,fish 21.png,557249,112.034,52,168,62430991,111,62430991,52,255
15,fish 22.png,535394,111.681,52,168,59793436,114,59793436,52,255
16,fish 23.png,538593,112.757,52,168,60730328,115,60730328,52,255
17,fish 24.png,531414,107.863,52,168,57319897,108,57319897,52,255
18,fish 25.png,535172,102.737,52,168,54981838,102,54981838,52,255
19,fish 26.png,516876,102.520,52,168,52989892,101,52989892,52,255
20,fish 27.png,456703,96.726,52,168,44175010,96,44175010,52,255
21,fish 28.png,487547,102.791,52,168,50115395,103,50115395,52,255
22,fish 29.png,444619,100.215,52,168,44557604,98,44557604,52,255
23,fish 3.png,477321,101.433,52,168,48415902,101,48415902,52,255
24,fish 30.png,429702,97.289,52,168,41805476,96,41805476,52,255
25,fish 4.png,438788,98.147,52,168,43065848,97,43065848,52,255
26,fish 5.png,446512,98.359,52,168,43918643,97,43918643,52,255
27,fish 6.png,462875,102.224,52,168,47316852,99,47316852,52,255
28,fish 7.png,422825,101.647,52,168,42978844,101,42978844,52,255
29,fish 8.png,478603,100.623,52,168,48158706,98,48158706,52,255
30,fish 9.png,423945,96.411,52,168,40872859,93,40872859,52,255
